2024-08-19 15:11:37 | ERROR | index_logger | Error in find_neighbors: 503 recvmsg:Connection reset by peer. Retries left: 4
2024-08-19 16:54:52 | ERROR | index_logger | Error in find_neighbors: 503 recvmsg:Connection reset by peer. Retries left: 4
2024-08-19 16:54:52 | ERROR | index_logger | Error in find_neighbors: 503 recvmsg:Connection reset by peer. Retries left: 4
2024-08-19 17:16:19 | ERROR | index_logger | Error in find_neighbors: 503 recvmsg:Connection reset by peer. Retries left: 4
2024-08-19 17:33:11 | ERROR | index_logger | Error in find_neighbors: 503 recvmsg:Connection reset by peer. Retries left: 4
2024-08-19 18:31:28 | ERROR | index_logger | Error in find_neighbors: 503 recvmsg:Connection reset by peer. Retries left: 4
2024-08-19 19:11:32 | ERROR | index_logger | Error in find_neighbors: 503 recvmsg:Connection reset by peer. Retries left: 4
2024-08-19 19:11:32 | ERROR | index_logger | Error in find_neighbors: 503 recvmsg:Connection reset by peer. Retries left: 4
2024-08-19 20:07:37 | ERROR | stderr | /env/lib/conda/gritkto/lib/python3.10/site-packages/gradio/helpers.py:974: UserWarning:
2024-08-19 20:07:37 | ERROR | stderr | 
2024-08-19 20:07:37 | ERROR | stderr | Unexpected argument. Filling with None.
2024-08-19 20:07:37 | ERROR | stderr | 
2024-08-19 20:07:37 | ERROR | stderr | Traceback (most recent call last):
2024-08-19 20:07:37 | ERROR | stderr |   File "/env/lib/conda/gritkto/lib/python3.10/site-packages/gradio/queueing.py", line 536, in process_events
2024-08-19 20:07:37 | ERROR | stderr |     response = await route_utils.call_process_api(
2024-08-19 20:07:37 | ERROR | stderr |   File "/env/lib/conda/gritkto/lib/python3.10/site-packages/gradio/route_utils.py", line 276, in call_process_api
2024-08-19 20:07:37 | ERROR | stderr |     output = await app.get_blocks().process_api(
2024-08-19 20:07:37 | ERROR | stderr |   File "/env/lib/conda/gritkto/lib/python3.10/site-packages/gradio/blocks.py", line 1923, in process_api
2024-08-19 20:07:37 | ERROR | stderr |     result = await self.call_function(
2024-08-19 20:07:37 | ERROR | stderr |   File "/env/lib/conda/gritkto/lib/python3.10/site-packages/gradio/blocks.py", line 1520, in call_function
2024-08-19 20:07:37 | ERROR | stderr |     prediction = await utils.async_iteration(iterator)
2024-08-19 20:07:37 | ERROR | stderr |   File "/env/lib/conda/gritkto/lib/python3.10/site-packages/gradio/utils.py", line 663, in async_iteration
2024-08-19 20:07:37 | ERROR | stderr |     return await iterator.__anext__()
2024-08-19 20:07:37 | ERROR | stderr |   File "/env/lib/conda/gritkto/lib/python3.10/site-packages/gradio/utils.py", line 656, in __anext__
2024-08-19 20:07:37 | ERROR | stderr |     return await anyio.to_thread.run_sync(
2024-08-19 20:07:37 | ERROR | stderr |   File "/env/lib/conda/gritkto/lib/python3.10/site-packages/anyio/to_thread.py", line 56, in run_sync
2024-08-19 20:07:37 | ERROR | stderr |     return await get_async_backend().run_sync_in_worker_thread(
2024-08-19 20:07:37 | ERROR | stderr |   File "/env/lib/conda/gritkto/lib/python3.10/site-packages/anyio/_backends/_asyncio.py", line 2144, in run_sync_in_worker_thread
