key,Model,Arena Elo rating (anony),Arena Elo rating (full),MTEB Overall Avg,MTEB Retrieval Avg,MTEB Clustering Avg,MTEB STS Avg,License,Organization,Link
intfloat/e5-mistral-7b-instruct,intfloat/e5-mistral-7b-instruct,1151.3105279549372,1151.3105279549372,66.63,56.89,50.26,84.63,MIT License,Microsoft,https://huggingface.co/intfloat/e5-mistral-7b-instruct
GritLM/GritLM-7B,GritLM/GritLM-7B,1120.343204812887,1120.343204812887,66.76,57.41,50.61,83.35,Apache 2.0,"Contextual AI, HKU, Microsoft",https://huggingface.co/GritLM/GritLM-7B
text-embedding-004,text-embedding-004,1103.7079770688408,1103.7079770688408,66.31,55.7,47.48,85.07,Proprietary,Google,https://cloud.google.com/vertex-ai/generative-ai/docs/model-reference/text-embeddings-api
BAAI/bge-large-en-v1.5,BAAI/bge-large-en-v1.5,1063.0081232894884,1063.0081232894884,64.23,54.29,46.08,83.11,MIT,BAAI,https://huggingface.co/BAAI/bge-large-en-v1.5
text-embedding-3-large,text-embedding-3-large,1024.4080540984214,1024.4080540984214,64.59,55.44,49.01,81.73,Proprietary,OpenAI,https://platform.openai.com/docs/guides/embeddings
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai/mxbai-embed-large-v1,1010.1130928013303,1010.1130928013303,64.68,54.39,46.71,85.0,Apache 2.0,mixedbread.ai,https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1
Alibaba-NLP/gte-Qwen2-7B-instruct,Alibaba-NLP/gte-Qwen2-7B-instruct,1005.3771977620534,1005.3771977620534,70.24,60.25,56.92,83.04,Apache 2.0,Alibaba,https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct
nomic-ai/nomic-embed-text-v1.5,nomic-ai/nomic-embed-text-v1.5,993.5832937877049,993.5832937877049,62.28,53.01,43.93,81.94,Apache 2.0,nomic.ai,https://huggingface.co/nomic-ai/nomic-embed-text-v1.5
Salesforce/SFR-Embedding-2_R,Salesforce/SFR-Embedding-2_R,983.3434345609778,983.3434345609778,70.31,60.18,56.17,81.26,CC-BY-NC-4.0,Salesforce,https://huggingface.co/Salesforce/SFR-Embedding-2_R
intfloat/multilingual-e5-large-instruct,intfloat/multilingual-e5-large-instruct,960.3215213261581,960.3215213261581,64.41,52.47,47.1,84.78,MIT License,Microsoft,https://huggingface.co/intfloat/multilingual-e5-large-instruct
voyage-multilingual-2,voyage-multilingual-2,940.8895873364962,940.8895873364962,,,,,Proprietary,Voyage AI,https://docs.voyageai.com/docs/embeddings
embed-english-v3.0,embed-english-v3.0,889.18241322696,889.18241322696,64.47,55,47.43,82.62,Proprietary,Cohere,https://docs.cohere.com/docs/cohere-embed
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,881.9746357031531,881.9746357031531,56.26,41.95,42.35,78.9,Apache 2.0,Sentence Transformers,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
jinaai/jina-embeddings-v2-base-en,jinaai/jina-embeddings-v2-base-en,872.4369362705917,872.4369362705917,60.38,47.87,41.73,80.7,Apache 2.0,Jina AI,https://huggingface.co/jinaai/jina-embeddings-v2-base-en
