key,Model,Arena Elo rating (anony),Arena Elo rating (full),MTEB Overall Avg,MTEB Retrieval Avg,MTEB Clustering Avg,MTEB STS Avg,License,Organization,Link
text-embedding-3-large,text-embedding-3-large,1148.2336460451204,1148.2336460451204,64.59,55.44,49.01,81.73,Proprietary,OpenAI,https://platform.openai.com/docs/guides/embeddings
intfloat/multilingual-e5-large-instruct,intfloat/multilingual-e5-large-instruct,1117.3429319479137,1117.3429319479137,64.41,52.47,47.1,84.78,MIT License,Microsoft,https://huggingface.co/intfloat/multilingual-e5-large-instruct
Alibaba-NLP/gte-Qwen2-7B-instruct,Alibaba-NLP/gte-Qwen2-7B-instruct,1095.4392861140254,1095.4392861140254,70.24,60.25,56.92,83.04,Apache 2.0,Alibaba,https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct
intfloat/e5-mistral-7b-instruct,intfloat/e5-mistral-7b-instruct,1076.3422054643338,1076.3422054643338,66.63,56.89,50.26,84.63,MIT License,Microsoft,https://huggingface.co/intfloat/e5-mistral-7b-instruct
GritLM/GritLM-7B,GritLM/GritLM-7B,1032.3901683329118,1032.3901683329118,66.76,57.41,50.61,83.35,Apache 2.0,"Contextual AI, HKU, Microsoft",https://huggingface.co/GritLM/GritLM-7B
Salesforce/SFR-Embedding-2_R,Salesforce/SFR-Embedding-2_R,1008.7960162168292,1008.7960162168292,70.31,60.18,56.17,81.26,CC-BY-NC-4.0,Salesforce,https://huggingface.co/Salesforce/SFR-Embedding-2_R
voyage-multilingual-2,voyage-multilingual-2,1007.7512462547236,1007.7512462547236,,,,,Proprietary,Voyage AI,https://docs.voyageai.com/docs/embeddings
jinaai/jina-embeddings-v2-base-en,jinaai/jina-embeddings-v2-base-en,1001.5012745879208,1001.5012745879208,60.38,47.87,41.73,80.7,Apache 2.0,Jina AI,https://huggingface.co/jinaai/jina-embeddings-v2-base-en
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,978.6734243727952,978.6734243727952,56.26,41.95,42.35,78.9,Apache 2.0,Sentence Transformers,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
text-embedding-004,text-embedding-004,957.9632583385747,957.9632583385747,66.31,55.7,47.48,85.07,Proprietary,Google,https://cloud.google.com/vertex-ai/generative-ai/docs/model-reference/text-embeddings-api
embed-english-v3.0,embed-english-v3.0,931.6454486594057,931.6454486594057,64.47,55,47.43,82.62,Proprietary,Cohere,https://docs.cohere.com/docs/cohere-embed
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai/mxbai-embed-large-v1,891.5039063049821,891.5039063049821,64.68,54.39,46.71,85.0,Apache 2.0,mixedbread.ai,https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1
nomic-ai/nomic-embed-text-v1.5,nomic-ai/nomic-embed-text-v1.5,766.6561813266364,766.6561813266364,62.28,53.01,43.93,81.94,Apache 2.0,nomic.ai,https://huggingface.co/nomic-ai/nomic-embed-text-v1.5
BAAI/bge-large-en-v1.5,BAAI/bge-large-en-v1.5,687.0805431518825,687.0805431518825,64.23,54.29,46.08,83.11,MIT,BAAI,https://huggingface.co/BAAI/bge-large-en-v1.5
